@RELATION pacman

@ATTRIBUTE pacx numeric
@ATTRIBUTE pacy numeric
@ATTRIBUTE legal_north {true, false}
@ATTRIBUTE legal_east {true, false}
@ATTRIBUTE legal_south {true, false}
@ATTRIBUTE legal_west {true, false}
@ATTRIBUTE g1_x NUMERIC
@ATTRIBUTE g1_y NUMERIC
@ATTRIBUTE g1_dis NUMERIC
@ATTRIBUTE num_walls NUMERIC
@ATTRIBUTE alive_ghosts NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE future_score NUMERIC
@ATTRIBUTE future_alive_ghosts NUMERIC
@ATTRIBUTE last_action {Stop, North, East, South, West}
@ATTRIBUTE g1_relPos {-1,0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g1_closest {true, false}
@ATTRIBUTE north_best {true, false}
@ATTRIBUTE east_best {true, false}
@ATTRIBUTE south_best {true, false}
@ATTRIBUTE west_best {true, false}
@ATTRIBUTE action {North, East, South, West}

@DATA
1,13,false,true,true,false,14,5,21,0,1,0,-1,1,Stop,4,true,false,true,false,false,East
2,13,false,true,true,true,14,5,20,0,1,-1,-2,1,East,4,true,false,true,false,false,East
3,13,false,true,true,true,14,5,19,0,1,-2,-3,1,East,4,true,false,true,false,false,East
4,13,false,true,true,true,14,5,18,0,1,-3,-4,1,East,4,true,false,true,false,false,East
5,13,false,true,true,true,14,5,17,0,1,-4,-5,1,East,4,true,false,true,false,false,East
6,13,false,true,true,true,14,5,16,0,1,-5,-6,1,East,4,true,false,true,false,false,East
7,13,false,true,true,true,14,5,15,0,1,-6,-7,1,East,4,true,false,true,false,false,East
8,13,false,true,true,true,14,5,14,0,1,-7,-8,1,East,4,true,false,true,false,false,East
9,13,false,true,true,true,14,5,13,0,1,-8,-9,1,East,4,true,false,true,false,false,East
10,13,false,true,true,true,14,5,12,0,1,-9,-10,1,East,4,true,false,true,false,false,East
11,13,false,true,true,true,14,5,11,0,1,-10,-11,1,East,4,true,false,true,false,false,East
12,13,false,true,true,true,14,5,10,0,1,-11,-12,1,East,4,true,false,true,false,false,East
