11,4,East,cluster1
10,4,East,cluster1
9,4,East,cluster3
8,5,South,cluster5
7,5,South,cluster5
6,5,South,cluster5
5,5,South,cluster5
4,5,South,cluster5
3,5,South,cluster5
2,5,South,cluster5
1,5,South,cluster5
5,2,East,cluster7
4,2,East,cluster7
3,2,East,cluster7
2,8,North,cluster8
1,8,North,cluster8
15,8,West,cluster2
14,8,West,cluster2
13,8,West,cluster2
12,8,West,cluster2
11,8,West,cluster2
10,8,West,cluster2
9,8,West,cluster2
8,8,West,cluster2
7,8,West,cluster8
6,8,West,cluster8
5,8,West,cluster8
4,8,West,cluster8
3,8,West,cluster8
2,8,North,cluster8
1,8,North,cluster8
21,6,West,cluster4
20,6,West,cluster4
19,6,West,cluster4
18,6,West,cluster4
17,6,West,cluster4
16,6,West,cluster4
15,6,West,cluster6
14,6,West,cluster6
13,6,West,cluster6
12,6,West,cluster6
11,6,West,cluster6
10,6,West,cluster6
9,6,West,cluster6
8,5,South,cluster5
7,5,South,cluster5
6,5,South,cluster5
5,5,South,cluster5
4,5,South,cluster5
3,5,South,cluster5
2,5,South,cluster5
1,5,South,cluster5
