@RELATION pacman

@ATTRIBUTE pacx numeric
@ATTRIBUTE pacy numeric
@ATTRIBUTE legal_north {true, false}
@ATTRIBUTE legal_east {true, false}
@ATTRIBUTE legal_south {true, false}
@ATTRIBUTE legal_west {true, false}
@ATTRIBUTE g1_x NUMERIC
@ATTRIBUTE g1_y NUMERIC
@ATTRIBUTE g2_x NUMERIC
@ATTRIBUTE g2_y NUMERIC
@ATTRIBUTE g3_x NUMERIC
@ATTRIBUTE g3_y NUMERIC
@ATTRIBUTE g4_x NUMERIC
@ATTRIBUTE g4_y NUMERIC
@ATTRIBUTE g1_dis NUMERIC
@ATTRIBUTE g2_dis NUMERIC
@ATTRIBUTE g3_dis NUMERIC
@ATTRIBUTE g4_dis NUMERIC
@ATTRIBUTE num_walls NUMERIC
@ATTRIBUTE alive_ghosts NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE future_score NUMERIC
@ATTRIBUTE future_alive_ghosts NUMERIC
@ATTRIBUTE last_action {Stop, North, East, South, West}
@ATTRIBUTE g1_relPos {-1,0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g2_relPos {-1,0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g3_relPos {-1,0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g4_relPos {-1,0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g1_closest {true, false}
@ATTRIBUTE g2_closest {true, false}
@ATTRIBUTE g3_closest {true, false}
@ATTRIBUTE g4_closest {true, false}
@ATTRIBUTE norht_best {true, false}
@ATTRIBUTE east_best {true, false}
@ATTRIBUTE south_best {true, false}
@ATTRIBUTE west_best {true, false}
@ATTRIBUTE action {North, East, South, West}

@DATA
1,13,false,true,true,false,4,5,4,11,14,5,14,11,11,5,21,15,0,4,0,-1,4,Stop,4,4,4,4,false,true,false,false,false,true,false,false,East
2,13,false,true,true,true,4,5,3,11,14,5,14,11,10,3,20,14,0,4,-1,-2,4,East,4,4,4,4,false,true,false,false,false,true,false,false,East
3,13,false,true,true,true,5,5,3,12,14,4,14,10,10,1,20,14,0,4,-2,97,3,East,4,5,4,4,false,true,false,false,false,false,true,false,South
3,12,true,true,true,true,5,6,3,1,14,4,15,10,8,-1,19,14,0,3,197,196,3,South,4,-1,4,4,true,false,false,false,false,true,false,false,East
4,12,true,true,true,true,5,7,3,1,14,5,15,11,6,-1,17,12,0,3,196,195,3,East,4,-1,4,4,true,false,false,false,false,true,false,false,East
5,12,true,true,true,true,5,6,3,1,14,4,14,11,6,-1,17,10,0,3,195,194,3,East,5,-1,4,4,true,false,false,false,false,false,true,false,South
5,11,true,true,true,true,5,5,3,1,14,4,13,11,6,-1,16,8,0,3,194,193,3,South,5,-1,4,3,true,false,false,false,false,false,true,false,South
5,10,true,true,true,true,6,5,3,1,15,4,13,10,6,-1,16,8,0,3,193,192,3,South,4,-1,4,3,true,false,false,false,false,true,false,false,East
6,10,true,true,true,true,7,5,3,1,16,4,13,11,6,-1,16,8,0,3,192,191,3,East,4,-1,4,2,true,false,false,false,false,true,false,false,East
7,10,true,true,true,true,7,5,3,1,16,3,12,11,5,-1,16,6,0,3,191,190,3,East,5,-1,4,2,true,false,false,false,false,false,true,false,South
7,9,true,true,true,true,7,6,3,1,16,3,12,11,3,-1,15,7,0,3,190,189,3,South,5,-1,4,2,true,false,false,false,false,false,true,false,South
