1,4,East,cluster8
0.95,4,East,cluster8
0.9,4,East,cluster8
0.85,4,East,cluster8
0.8,4,East,cluster8
0.75,4,East,cluster8
0.7,4,East,cluster8
0.65,4,East,cluster8
0.6,4,East,cluster8
0.55,4,East,cluster8
0.5,4,East,cluster8
0.45,4,East,cluster8
0.4,4,East,cluster8
0.35,5,South,cluster2
0.3,5,South,cluster2
0.25,5,South,cluster2
0.2,5,South,cluster2
0.15,5,South,cluster2
0.1,5,South,cluster2
0.05,5,South,cluster2
0,5,South,cluster2
1,2,East,cluster5
0.95,2,East,cluster5
0.9,2,East,cluster5
0.85,2,East,cluster5
0.8,2,East,cluster5
0.75,2,East,cluster5
0.7,2,East,cluster5
0.65,2,East,cluster5
0.6,2,East,cluster5
0.55,2,East,cluster5
0.5,2,East,cluster5
0.45,2,East,cluster5
0.4,2,East,cluster5
0.35,1,North,cluster1
0.3,1,North,cluster1
0.25,1,North,cluster1
0.2,1,North,cluster1
0.15,1,North,cluster1
0.1,1,North,cluster1
0.05,1,North,cluster1
0,1,North,cluster1
1,8,West,cluster6
0.95,8,West,cluster6
0.9,8,West,cluster6
0.85,8,West,cluster6
0.8,8,West,cluster6
0.75,8,West,cluster6
0.7,8,West,cluster6
0.65,8,West,cluster6
0.6,8,West,cluster6
0.55,8,West,cluster6
0.5,8,West,cluster6
0.45,8,West,cluster6
0.4,8,West,cluster6
0.35,1,North,cluster1
0.3,1,North,cluster1
0.25,1,North,cluster1
0.2,1,North,cluster1
0.15,1,North,cluster1
0.1,1,North,cluster1
0.05,1,North,cluster1
0,1,North,cluster1
1,6,West,cluster7
0.95,6,West,cluster7
0.9,6,West,cluster7
0.85,6,West,cluster7
0.8,6,West,cluster7
0.75,6,West,cluster7
0.7,6,West,cluster7
0.65,6,West,cluster7
0.6,6,West,cluster7
0.55,6,West,cluster7
0.5,6,West,cluster7
0.45,6,West,cluster7
0.4,6,West,cluster7
0.35,5,South,cluster2
0.3,5,South,cluster2
0.25,5,South,cluster2
0.2,5,South,cluster2
0.15,5,South,cluster2
0.1,5,South,cluster2
0.05,5,South,cluster2
0,5,South,cluster2
0.2,8,West,cluster6
0.15,8,West,cluster6
0.1,8,West,cluster6
0.05,1,North,cluster1
0,1,North,cluster1
0.2,6,West,cluster7
0.15,6,West,cluster7
0.1,6,West,cluster7
0.05,5,South,cluster2
0,5,South,cluster2
0.2,4,East,cluster8
0.15,4,East,cluster8
0.1,4,East,cluster8
0.05,5,South,cluster2
0,5,South,cluster2
0.2,2,East,cluster5
0.15,2,East,cluster5
0.1,2,East,cluster5
0.05,1,North,cluster1
0,1,North,cluster1
0.35,1,North,cluster1
0.3,1,North,cluster1
0.25,1,North,cluster1
0.2,1,North,cluster1
0.15,1,North,cluster1
0.1,1,North,cluster1
0.05,1,North,cluster1
0,1,North,cluster1
0.75,7,West,cluster3
0.7,7,West,cluster3
0.65,7,West,cluster3
0.6,7,West,cluster3
0.55,7,West,cluster3
0.5,7,West,cluster3
0.45,7,West,cluster3
0.4,7,West,cluster3
0.35,7,West,cluster3
0.3,7,West,cluster3
0.25,7,West,cluster3
0.2,7,West,cluster3
0.15,7,West,cluster3
0.1,7,West,cluster3
0.05,7,West,cluster3
0,7,West,cluster3
0.75,3,East,cluster4
0.7,3,East,cluster4
0.65,3,East,cluster4
0.6,3,East,cluster4
0.55,3,East,cluster4
0.5,3,East,cluster4
0.45,3,East,cluster4
0.4,3,East,cluster4
0.35,3,East,cluster4
0.3,3,East,cluster4
0.25,3,East,cluster4
0.2,3,East,cluster4
0.15,3,East,cluster4
0.1,3,East,cluster4
0.05,3,East,cluster4
0,3,East,cluster4
0.35,1,North,cluster1
0.3,1,North,cluster1
0.25,1,North,cluster1
0.2,1,North,cluster1
0.15,1,North,cluster1
0.1,1,North,cluster1
0.05,1,North,cluster1
0,1,North,cluster1
0.35,1,North,cluster1
0.3,1,North,cluster1
0.25,1,North,cluster1
0.2,1,North,cluster1
0.15,1,North,cluster1
0.1,1,North,cluster1
0.05,1,North,cluster1
0,1,North,cluster1
0.35,5,South,cluster2
0.3,5,South,cluster2
0.25,5,South,cluster2
0.2,5,South,cluster2
0.15,5,South,cluster2
0.1,5,South,cluster2
0.05,5,South,cluster2
0,5,South,cluster2
0.35,5,South,cluster2
0.3,5,South,cluster2
0.25,5,South,cluster2
0.2,5,South,cluster2
0.15,5,South,cluster2
0.1,5,South,cluster2
0.05,5,South,cluster2
0,5,South,cluster2
0.35,5,South,cluster2
0.3,5,South,cluster2
0.25,5,South,cluster2
0.2,5,South,cluster2
0.15,5,South,cluster2
0.1,5,South,cluster2
0.05,5,South,cluster2
0,5,South,cluster2
0.35,5,South,cluster2
0.3,5,South,cluster2
0.25,5,South,cluster2
0.2,5,South,cluster2
0.15,5,South,cluster2
0.1,5,South,cluster2
0.05,5,South,cluster2
0,5,South,cluster2
